Conventions,G,BADC-CSV,1,,,,,,,,,,,,
title,G,Global mean sea level change due to thermal expansion for CMIP6 models and observations relative to the baseline period (1850-1900),,,,,,,,,,,,,
creator,G,Krishna AchutaRao (akrishna@cas.iitd.ac.in),,,,,,,,,,,,,
creator,G,Elizaveta Malinina (elizaveta.malinina-rieger@ec.gc.ca),,,,,,,,,,,,,
activity,G,IPCC AR6,,,,,,,,,,,,,
feature_type,G,Global Mean Time Series,,,,,,,,,,,,,
comments,G,"Data is for the black, brown, grey, blue and green lines and shadings in Figure 3.29 in the IPCC Working Group I Contribution to the Sixth Assessment Report: Chapter 3",,,,,,,,,,,,,
comments,G,Global Mean Sea Level Anomalies (GMSLA) is computed from CMIP6 simulations and observations,,,,,,,,,,,,,
comments,G,years 1850-2018,,,,,,,,,,,,,
fill_value,G,1.00E+20,,,,,,,,,,,,,
last_revised_date,G,2020-07-21,,,,,,,,,,,,,
coordinate_variable,1,Year,Year,,,,,,,,,,,,
comments,1,It is monthly data provided as the fraction of a year,,,,,,,,,,,,,
long_name,1,Year,Year,,,,,,,,,,,,
type,1,float,,,,,,,,,,,,,
long_name,2,gmsla_brown_line_historical_mean,mm,,,,,,,,,,,,
comments,2,Global Mean Sea Level Anomalies (GMSLA) mean is computed from CMIP6 simulations with anthropogenic and natural forcings (historical),,,,,,,,,,,,,
type,2,float,,,,,,,,,,,,,
long_name,3,gmsla_brown_shading_top_historical_95_perc,mm,,,,,,,,,,,,
comments,3,Global Mean Sea Level Anomalies (GMSLA) 95 percentile is computed from CMIP6 simulations with anthropogenic and natural forcings (historical),,,,,,,,,,,,,
type,3,float,,,,,,,,,,,,,
long_name,4,gmsla_brown_shading_bottom_hsitorical_5_perc,mm,,,,,,,,,,,,
comments,4,Global Mean Sea Level Anomalies (GMSLA) 5 percentile is computed from CMIP6 simulations with anthropogenic and natural forcings (historical),,,,,,,,,,,,,
type,4,float,,,,,,,,,,,,,
long_name,5,gmsla_grey_line_hist_GHG_mean,mm,,,,,,,,,,,,
comments,5,Global Mean Sea Level Anomalies (GMSLA) mean is computed from CMIP6 simulations with anthropogenic greenhouse gases forcings (hist-GHG),,,,,,,,,,,,,
type,5,float,,,,,,,,,,,,,
long_name,6,gmsla_grey_shading_top_hist_GHG_95_perc,mm,,,,,,,,,,,,
comments,6,Global Mean Sea Level Anomalies (GMSLA) 95 percentile is computed from CMIP6 simulations with anthropogenic greenhouse gases forcings (hist-GHG),,,,,,,,,,,,,
type,6,float,,,,,,,,,,,,,
long_name,7,gmsla_grey_shading_bottom_hist_GHG_5_perc,mm,,,,,,,,,,,,
comments,7,Global Mean Sea Level Anomalies (GMSLA) 5 percentile is computed from CMIP6 simulations with anthropogenic greenhouse gases forcings (hist-GHG),,,,,,,,,,,,,
type,7,float,,,,,,,,,,,,,
long_name,8,gmsla_blue_line_hist_aer_mean,mm,,,,,,,,,,,,
comments,8,Global Mean Sea Level Anomalies (GMSLA) mean is computed from CMIP6 simulations with anthropogenic aerosol forcings (hist-aer),,,,,,,,,,,,,
type,8,float,,,,,,,,,,,,,
long_name,9,gmsla_blue_shading_top_hist_aer_95_perc,mm,,,,,,,,,,,,
comments,9,Global Mean Sea Level Anomalies (GMSLA) 95 percentile  is computed from CMIP6 simulations with anthropogenic aerosol forcings (hist-aer),,,,,,,,,,,,,
